IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,BRA,Brazil,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,9839,,,,,,9 839,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,90,,,,,,90,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,CMR,Cameroon,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,90,,,,,,90,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,ISR,Israel,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,90,,,,,,90,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,CAN,Canada,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,906,,,,,,906,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,91,,,,,,91,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,MDG,Madagascar,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,91,,,,,,91,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,913,,,,,,913,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AMR,Americas,Country,COL,Colombia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,914,,,,,,914,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,BDI,Burundi,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,92,,,,,,92,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,AFR,Africa,Country,NER,Niger,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,92,,,,,,92,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,92,,,,,,92,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,925,,,,,,925,,,EN,2023-04-20T04:00:00.000Z
ORAL_HEALTH_CANCER_LIPORALCAVITY_NEWCASE_NUMBER,Number of new cases of lip and oral cavity cancer,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,926,,,,,,926,,,EN,2023-04-20T04:00:00.000Z
